Ticker,Date,Open,High,Low,Close,Volume,Quarter,Split
NVDA,2025-03-13,116.86621875800482,117.59520049683546,113.63075517539951,115.41825103759766,299033100,Q1,train
QQQ,2025-03-13,472.7305781456632,472.76035523811606,462.98313932199375,464.8790283203125,46563300,Q1,train
AAPL,2025-03-14,209.9585940343847,212.6420854575803,208.2988048386841,212.18490600585935,60107600,Q1,train
MSFT,2025-03-14,375.3734493768336,385.7022111357248,375.10659301872727,384.0515747070313,19952800,Q1,train
NVDA,2025-03-14,118.44401014075396,121.7094305400334,117.98465480860956,121.49972534179688,277593500,Q1,train
QQQ,2025-03-14,470.2292461988736,477.00876061202655,469.62373821824536,476.1154174804688,43563000,Q1,train
AAPL,2025-03-17,212.0059881512876,213.904315554563,208.6864099217596,212.6917724609375,48073400,Q1,train
MSFT,2025-03-17,382.2131473268013,388.1533930243756,381.09625384575537,384.18994140625,22474300,Q1,train
NVDA,2025-03-17,122.5682312033008,122.71802281178024,117.86482345684048,119.36272430419922,255501500,Q1,train
QQQ,2025-03-17,476.0657408601252,482.2497130174167,474.2691189068619,479.202392578125,41744400,Q1,train
AAPL,2025-03-18,212.85081593904235,213.83475423543345,210.19713981325924,211.38980102539065,42432400,Q1,train
MSFT,2025-03-18,382.5788655792479,382.8753726383068,376.6781337960948,379.0700378417969,19486900,Q1,train
NVDA,2025-03-18,117.83485847417,118.85342762738914,114.37970167383446,115.2684555053711,299686900,Q1,train
QQQ,2025-03-18,475.867271104116,476.0657749736721,468.91899953639006,471.03326416015625,39072300,Q1,train
AAPL,2025-03-19,212.91044076829724,217.4226803637017,212.443312738742,213.92420959472656,54385400,Q1,train
MSFT,2025-03-19,381.0567221702146,385.158563988563,379.54447585576617,383.3201599121094,19185500,Q1,train
NVDA,2025-03-19,117.10587965509885,120.2814296141779,115.51810848491796,117.35552978515624,273426200,Q1,train
QQQ,2025-03-19,473.28646764378425,481.74349565345614,471.3608014299573,477.3363342285156,40430300,Q1,train
AAPL,2025-03-20,212.6818553101102,216.16045933121796,210.92267131595003,212.7911834716797,48862900,Q1,train
MSFT,2025-03-20,381.2642891356356,387.2441097112173,378.8328407062668,382.3515319824219,18470500,Q1,train
NVDA,2025-03-20,116.38688818380663,120.0317738155389,116.30699831746894,118.3641128540039,248829700,Q1,train
QQQ,2025-03-20,473.3559666184429,480.969270043224,472.6611273475336,475.7183837890625,36780500,Q1,train
AAPL,2025-03-21,210.26669685360037,217.5021918152461,209.9884097524224,216.9356842041016,94127800,Q1,train
MSFT,2025-03-21,378.7735245117788,387.194656647968,378.3583844724842,386.7202453613281,39675900,Q1,train
NVDA,2025-03-21,116.77634740953133,117.82487338576216,115.25847035053428,117.5352783203125,266498500,Q1,train
QQQ,2025-03-21,470.5766275228687,478.0509810732746,469.4152905592447,477.2866821289063,42234900,Q1,train
AAPL,2025-03-24,219.64899945464327,220.1260609084734,217.2437950361324,219.38064575195312,44299500,Q1,train
MSFT,2025-03-24,390.81222312553433,390.81222312553433,385.2870867325212,388.5191345214844,21004500,Q1,train
NVDA,2025-03-24,119.71223179694545,122.04896105750126,119.17298658297102,121.24009704589844,228452500,Q1,train
QQQ,2025-03-24,484.8576491349716,488.60538941404207,481.5373907904982,487.7604064941406,34567200,Q1,train
AAPL,2025-03-25,219.42039321145907,222.7300380772677,218.73460889257407,222.38217163085935,34493600,Q1,train
MSFT,2025-03-25,389.3493790004213,391.7610400507305,388.0842319836349,390.5749816894531,15775000,Q1,train
NVDA,2025-03-25,120.38130705821352,121.12026937928964,118.75358318150823,120.52111053466795,167447200,Q1,train
QQQ,2025-03-25,488.4861400211188,490.7029423960745,487.5218710331621,490.54388427734375,26035200,Q1,train
AAPL,2025-03-26,222.1436424317859,223.64442126802376,219.12223310716143,220.17575073242188,34466100,Q1,train
MSFT,2025-03-26,390.4168262767483,390.7232269425197,384.061440622416,385.4451904296875,16108400,Q1,train
NVDA,2025-03-26,118.5638454632065,118.6736845133834,112.55226594608844,113.60079956054688,293463300,Q1,train
QQQ,2025-03-26,489.3906651224751,490.2455985952576,479.9667080597325,481.5174865722656,34627100,Q1,train
AAPL,2025-03-27,220.0365991694977,223.61459773398053,219.21167130142223,222.4815673828125,37094800,Q1,train
MSFT,2025-03-27,385.6033656235933,387.6888690270636,382.9050306805178,386.0481262207031,13766800,Q1,train
NVDA,2025-03-27,111.19417323533278,114.28983351449122,110.5051440147698,111.27406311035156,236902100,Q1,train
QQQ,2025-03-27,479.5591741727875,483.70451433059617,477.4119351757768,478.7738342285156,33469800,Q1,train
AAPL,2025-03-28,220.31487416588556,222.44179120535847,216.3492605717641,216.5679168701172,39818600,Q1,train
MSFT,2025-03-28,383.5771709738401,384.61500612887534,372.5565482590105,374.4048461914063,21632000,Q1,train
NVDA,2025-03-28,111.33397028810096,112.71204388720729,108.9173588485005,109.51651763916016,229872500,Q1,train
QQQ,2025-03-28,476.974551402309,477.6803471496016,465.28403763438615,466.1687927246094,46363800,Q1,train
AAPL,2025-03-31,215.683368745432,224.24073468961828,214.908138255618,220.77207946777344,65299300,Q1,train
MSFT,2025-03-31,368.2174556076631,372.6948931611048,362.978933000102,371.0343933105469,35184700,Q1,train
NVDA,2025-03-31,104.98287310192076,110.80471613819728,103.5049485540766,108.22832489013672,299212700,Q1,train
QQQ,2025-03-31,459.19026229129486,467.08331235256605,454.6273605455005,466.1488952636719,53000300,Q1,train
AAPL,2025-04-01,218.46624988397505,222.31258685550367,217.5618092777705,221.8255920410156,36412700,Q2,train
MSFT,2025-04-01,370.3029705230893,378.4078388750376,368.89946352111616,377.7554931640625,19689500,Q2,train
NVDA,2025-04-01,108.36812587384452,110.04577506451116,106.32099936404416,109.995849609375,222614000,Q2,train
QQQ,2025-04-01,464.53844262078127,470.8310519884103,461.6754876852753,469.9065551757813,41156200,Q2,train
AAPL,2025-04-02,219.9670353213626,223.8133724100327,219.66886624627367,222.5213165283203,35905900,Q2,train
MSFT,2025-04-02,373.5844861787052,380.6119757035965,372.25014394283687,377.70611572265625,16092600,Q2,train
NVDA,2025-04-02,107.1398553905561,111.82329447216486,106.64055510872038,110.26547241210938,220601200,Q2,train
QQQ,2025-04-02,463.3654253458386,476.7260031222664,463.1069521266998,473.3361511230469,49894500,Q2,train
AAPL,2025-04-03,204.28348559152053,206.2215769781628,200.0197179050274,201.94786071777344,103419000,Q2,train
MSFT,2025-04-03,370.4413834397649,373.1001742376296,365.06450042697054,368.7808532714844,30198000,Q2,train
NVDA,2025-04-03,103.36514539947606,105.48217369637304,101.45781468579652,101.65753936767578,338769400,Q2,train
QQQ,2025-04-03,453.742637111202,457.3511902166352,447.4798795534505,447.9967956542969,70456300,Q2,train
AAPL,2025-04-04,192.7047355778497,198.658123727335,186.19477317599055,187.2284240722656,125910900,Q2,train
MSFT,2025-04-04,359.9050576420754,370.2436833446925,355.3090169453245,355.6648254394531,49209900,Q2,train
NVDA,2025-04-04,98.77159334909084,99.9898797349743,91.9811059228115,94.1780242919922,532273800,Q2,train
QQQ,2025-04-04,435.5508223213529,437.7676247006197,420.1722412109375,420.1722412109375,117088400,Q2,train
AAPL,2025-04-07,176.1167553732534,192.96313526897592,173.55252535537636,180.3507232666016,160466300,Q2,train
MSFT,2025-04-07,346.808801297969,366.6953473866903,340.7894661963344,353.7077941894531,50425000,Q2,train
NVDA,2025-04-07,87.33759621246332,101.60759784636036,86.4987754744505,97.50334930419922,611041300,Q2,train
QQQ,2025-04-07,406.24497996843866,440.5212273303754,400.01204418212296,421.1861572265625,161557000,Q2,train
AAPL,2025-04-08,185.5586531084637,189.17640027021665,168.17558356470508,171.36595153808594,120859500,Q2,train
MSFT,2025-04-08,363.98715955184485,369.31460473132455,346.1861164728992,350.44610595703125,35868900,Q2,train
NVDA,2025-04-08,103.66472218207365,105.70186824827938,94.3278084260022,96.1652374267578,476243400,Q2,train
QQQ,2025-04-08,435.5706616527368,440.5212428610244,407.3683213181599,413.6012573242188,101248100,Q2,train
AAPL,2025-04-09,170.89883496621582,199.38363475051756,170.83920418374143,197.6343994140625,184395900,Q2,train
MSFT,2025-04-09,349.43791334353114,388.6673960004068,349.00301621371585,385.9591674804688,50199700,Q2,train
NVDA,2025-04-09,98.75160385221358,114.93891720962624,97.39350654873373,114.16999816894533,612918300,Q2,train
QQQ,2025-04-09,413.11420733728266,465.0653576176641,412.9750201017136,463.2461853027344,142876900,Q2,train
AAPL,2025-04-10,187.9141823452429,193.58926741380884,181.88128226075605,189.25592041015625,121880000,Q2,train
MSFT,2025-04-10,377.6269854135807,379.4456324184745,363.5324334212975,376.92523193359375,38024400,Q2,train
NVDA,2025-04-10,109.21694044618194,110.70485307181583,99.01124202201945,107.4194564819336,437812400,Q2,train
QQQ,2025-04-10,450.8796663706337,452.89766878987024,430.07336033484415,443.5432739257813,108384100,Q2,train
AAPL,2025-04-11,184.96233608452025,198.32016168749277,184.92257212057936,196.93865966796875,87435900,Q2,train
MSFT,2025-04-11,376.2234920445777,385.52428234575257,374.4937970946495,383.94287109375,23839200,Q2,train
NVDA,2025-04-11,108.348157786305,111.39389245819964,107.32958859529616,110.7747573852539,313417300,Q2,train
QQQ,2025-04-11,442.0223093443537,453.09649143953806,438.7219217931667,451.7146911621094,52483800,Q2,train
AAPL,2025-04-14,210.14743595954587,211.638266220138,199.9302804535287,201.28196716308597,101352900,Q2,train
MSFT,2025-04-14,388.6575350248574,390.0709357337415,379.75206690221165,383.310302734375,19251200,Q2,train
NVDA,2025-04-14,113.9503045917023,114.1300529879136,108.91735711650354,110.55506134033205,264705000,Q2,train
QQQ,2025-04-14,461.7152208667026,462.3017305650004,449.95514472763216,454.7764892578125,43941200,Q2,train
AAPL,2025-04-15,200.6259945192588,202.26590170954893,198.57859009217825,200.9042816162109,51343900,Q2,train
MSFT,2025-04-15,384.0021677861047,387.3429548173336,379.702634359307,381.2544250488281,17199900,Q2,train
NVDA,2025-04-15,110.81470199440513,113.46099492172468,110.3453585264742,112.04297637939452,228966900,Q2,train
QQQ,2025-04-15,455.83021518157193,459.6475186324782,453.454324591476,455.283447265625,35404200,Q2,train
AAPL,2025-04-16,197.1473909296092,199.47308245703653,191.19400339685228,193.0823974609375,59732400,Q2,train
MSFT,2025-04-16,376.25315416820064,377.1822197333743,363.730149078798,367.2982482910156,21967800,Q2,train
NVDA,2025-04-16,104.40369410395132,106.64055727885454,100.30942561460589,104.3437728881836,397016900,Q2,train
QQQ,2025-04-16,446.3764289285455,449.94520996662885,435.17304059444126,441.5550842285156,48980600,Q2,train
AAPL,2025-04-17,195.9944589047864,197.61449911758032,193.2314550257992,195.7758026123047,52164700,Q2,train
MSFT,2025-04-17,369.4133653600013,369.976758868816,362.6329766642394,363.51263427734375,21120200,Q2,train
NVDA,2025-04-17,104.30381795694564,104.3237942331935,99.90998190333625,101.34796142578124,292517500,Q2,train
QQQ,2025-04-17,444.5274509761507,445.10401010316673,438.7517574071589,441.4755859375,44837000,Q2,train
AAPL,2025-04-21,192.08851517151223,192.6152739871965,188.64966000796989,191.97918701171875,46742500,Q2,train
MSFT,2025-04-21,358.6102367890087,360.2509795659297,351.54320368031085,354.9531555175781,20807300,Q2,train
NVDA,2025-04-21,98.6317735699764,99.3008417327631,94.90699776234818,96.77438354492188,288501100,Q2,train
QQQ,2025-04-21,435.64027525418857,436.48522787937225,425.40112526573694,430.5505065917969,44149300,Q2,train
AAPL,2025-04-22,194.92107095045927,200.35763286451956,194.7719939992729,198.5189514160156,52976400,Q2,train
MSFT,2025-04-22,359.1637542302739,363.5028019496421,355.68457702509073,362.5638427734375,19485000,Q2,train
NVDA,2025-04-22,98.6417555090913,99.67031279819464,97.14385476914264,98.75160217285156,241004800,Q2,train
QQQ,2025-04-22,436.2267468236976,444.93495790304166,435.0338262355641,441.8533020019531,52304400,Q2,train
AAPL,2025-04-23,204.7407093293248,206.7284832063085,201.56027415925303,203.34927368164065,52929200,Q2,train
MSFT,2025-04-23,371.6966268435602,375.9764033603888,368.6918910858119,370.0460205078125,20545500,Q2,train
NVDA,2025-04-23,104.37372584399633,104.6533403969428,101.87722447592722,102.5662612915039,247526000,Q2,train
QQQ,2025-04-23,455.4624310494103,460.641633756553,450.20368411807647,451.8737487792969,55801100,Q2,train
AAPL,2025-04-24,203.63746952607696,207.55338601533765,201.6993932641485,207.09619140625,47311000,Q2,train
MSFT,2025-04-24,371.34077108557176,383.9428330432701,370.8366789549492,382.80615234375,22232300,Q2,train
NVDA,2025-04-24,103.33517578708889,106.39089066307956,102.96569088547096,106.28104400634766,220815000,Q2,train
QQQ,2025-04-24,453.78243704630535,464.896361425193,453.1362539590864,464.5881958007813,45956100,Q2,train
AAPL,2025-04-25,205.10842646651813,208.46776890662989,204.9394675201618,208.00064086914065,38222300,Q2,train
MSFT,2025-04-25,382.50964370251074,387.6097759048288,380.1374969060445,387.3033752441406,18973200,Q2,train
NVDA,2025-04-25,106.70047768277183,111.7633826618512,105.58204983332996,110.85466003417967,251064700,Q2,train
QQQ,2025-04-25,464.210432874224,470.2942617606861,462.639783263479,469.7673950195313,38697100,Q2,train
AAPL,2025-04-28,208.71620315087387,210.2070331733801,206.19173765225315,208.8553466796875,38743100,Q2,train
MSFT,2025-04-28,387.41210451108,388.183053013966,382.1538550582223,386.6213989257813,16579400,Q2,train
NVDA,2025-04-28,109.53649064316204,110.21553928394424,105.87162103934428,108.5778350830078,207708500,Q2,train
QQQ,2025-04-28,470.2345868172972,472.0040665388327,463.2759539267501,469.6182556152344,33550800,Q2,train
AAPL,2025-04-29,207.4142395090872,210.94254069563792,207.0961884524305,209.91883850097656,36827600,Q2,train
MSFT,2025-04-29,386.7597585973815,390.51568553400665,385.8504501911824,389.4679870605469,14974000,Q2,train
